Product ID,Product Name,Long Name,DateTime Last Sale,Comment,Normal Size1,Sunday Pricing Size1,Public Holiday Size1
31676,A Bichot Moutonne G.C.22Cy,W D 4,,Albert Bichot Domaine Long-Depaquit Chablis Moutonne Grand Cru Monopole Chardonnay 2022 (750ml),980.0,1078.0,1127.0
30438,A Christmann 21Ri Idig Gg,W E 5,07-Nov-2024 01:47:55 PM,A.Christmann IDIG GG Riesling 2021 (750ml),565.0,621.5,649.75
30437,A Christmann 21Ri Olberg Gg,W E 5,,A.Christmann Olberg-Hart GG Riesling 2021 (750ml),525.0,577.5,603.75
30439,A Christmann 21Ri Vogelsang Gg,W E 5,,A.Christmann Vogelsang GG Riesling 2021 (750ml),565.0,621.5,649.75
31909,A Lambert Cremant,W B 2 ,,Arnoud Lambert Cremant De Loire (750ml) ,0.0,0.0,0.0
31797,A Perret Condrieu.C.D.C. 22Vi,W B 5,,"Domaine André Perret ""Coteau de Chéry"" Condrieu Viognier 2022 (750ml)",620.0,682.0,713.0
31798,A Perret St Joseph 22Sz,C11 (86!),27-May-2025 07:02:39 PM,Domaine Andre Perret Saint-Joseph Rouge Syrah  2022 (750ml),220.0,242.0,253.0
30259,A Sanzay 22Cf Saumur,R K M,11-May-2025 10:06:18 PM,Antoine Sanzay La Paterne Saumur Champigny 2022 (750ml),180.0,198.0,207.0
31708,A&G Fantino Bussia 17Nb,R E T,11-May-2025 03:58:05 PM,2017 A&G Fantino. Cascina Dardi 'Bussia'. Barolo. Piemonte. Italy (750ml),0.0,0.0,0.0
8613,Agrapart Exp.12 D18,S08 (86!),17-May-2025 11:55:38 PM,Agrapart Experience Champagne 2012 (750ml).Disgorged 04/2020,1300.0,1430.0,1495.0
31549,Agrapart Nv Terroir B21.D03/24,W B 3,17-May-2025 11:57:18 PM,Agrapart & Fils terroirs BDB. Bottled: May 2021. Discorged: March 2024 .(750ml) ,580.0,638.0,667.0
30689,Aix 23Rose,W A 1 + V4,27-May-2025 07:25:04 PM,AIX rose Provence 2023 (750ml),110.0,121.0,126.5
30970,Alkina 'Kin' 23Gr,R C T,27-Apr-2025 02:30:17 PM,2023 Kin by Alkina Grenache (750ml),110.0,121.0,126.5
31020,Alkina 'Poly 3' 20Gr,R H B,21-Mar-2024 08:20:21 PM,2020 Alkina Polygon 3. Grenache (750ml),690.0,759.0,793.5
31021,Alkina 'Poly 3' 22Gr,R H B,,2022 Alkina 'Polygon 3',650.0,715.0,747.5
31023,Alkina 'Poly 5' 20Gr,R H B,,,690.0,759.0,793.5
31022,Alkina 'Poly 5' 22Gr,R H B,,Alkina 'Polygon 5' Grenache. Barossa Valley (750ml),650.0,715.0,747.5
31254,Amour De Deutz 11 D21,S10  (86!),31-Dec-2024 10:52:16 PM,2011 Deutz 'Amour de Deutz'. Champagne .Disgorged: 2021 ,890.0,979.0,1023.5
30072,Arras 07Spk E.J.Carr,W A 2,27-Mar-2025 07:14:06 PM,Arras E.J. Carr Late Disgorged Sparkling 2007 (750ml),520.0,572.0,598.0
17556,Arras Nv Bdb,W A 2 + V4,05-Jun-2025 11:22:17 PM,Arras Blanc de Blancs Sparkling NV (750ml),105.0,115.5,120.75
31315,Arras Rose 15Spk,W A 2 + Btg,01-Jun-2025 06:46:48 PM,2015 Arras sparkling vintage Rose (750ml),340.0,374.0,391.0
31651,Ashbrook Estate 20C.S.,R B B,02-Jun-2025 06:56:10 PM,Ashborook Estate Cabernet Sauvignon 2020 (750ml),90.0,99.0,103.5
31006,Ashes + Diamond 19S.B.,W B 4,,2019 Ashes and Diamonds Napa Blanc No.5 (750ml),380.0,418.0,437.0
31512,Atallah 21C.F. ,R B T ,22-May-2025 08:19:03 PM,Atallah wines Orange Cabernet Franc 2021 (750ml) ,135.0,148.5,155.25
31511,Atallah 22Cy Block A2 ,W C 3,23-May-2025 06:53:13 PM,Atallah wines Orange Block A2 Chardonnay 2022 (750ml) ,135.0,148.5,155.25
31513,Atallah 22Sz,R A B ,31-May-2025 09:08:51 PM,Atallah wines Mclaren Vale Shiraz 2022 ,135.0,148.5,155.25
31510,Atallah Mudgee 23Gw,W A 4 + BTG,03-Jun-2025 07:16:28 PM,Atallah wines Mudgee Gewurtztraminer 2023 (750ml)  ,120.0,132.0,138.0
25934,B Leroux 20Beaune 1Er L C V,P02 (86!),,Benjamin Leroux Beaune 1er Cru Les Cent-Vignes 2020 (750ml),480.0,528.0,552.0
30223,B Leroux 21Meursault L C D,W D 2,,Benjamin Leroux Meursault 1er Cru Les Charmes Dessus 2021 (750ml),1200.0,1320.0,1380.0
30225,B Leroux 21Volnay,P04 (86!),22-Nov-2024 09:24:22 PM,Benjamin Leroux Volnay 2021 (750ml),575.0,632.5,661.25
