,sstr,score,product_id,_comment
0,nv (19) vouette et sorbée ‘blanc d’argile’ extra-brut (disg 2022) barséquanais 550,4.269902466748572,29574,Vouette et Sorbee Blanc d'Argile Blanc de Blancs NV (750ml).Base: 2019.Disgorged: 10/2022
1,nv (19) vouette et sorbée ‘blanc d’argile’ extra-brut (disg 2022) barséquanais 550,4.269902466748572,25384,Vouette et Sorbee Blanc d'Argile Blanc de Blancs NV (750ml) .Base: 2018.Disgorged: 11/2020
2,nv (19) vouette et sorbée ‘blanc d’argile’ extra-brut (disg 2022) barséquanais 550,3.758656706325323,29575,Vouette et Sorbee Fidele Blanc de Noirs 2019 (750ml).Base: 2019.Disgorged: 10/2022
3,nv (19) vouette et sorbée ‘blanc d’argile’ extra-brut (disg 2022) barséquanais 550,3.3755790541089987,31324,Vouette et Sorbee NvcpBlanc d'Argile Blanc de Blancs Champagne (750ml).Base: 2020.Disgorged: 10/2023
4,nv (19) vouette et sorbée ‘blanc d’argile’ extra-brut (disg 2022) barséquanais 550,3.0074402812113528,31688,Champagne Egly-Ouriet Les Vignes de Bisseuil Premier Cru Extra Brut NV (750ml).Base: 2019.Disgorgement: 07/24
0,nv (19) vouette et sorbée ‘ fidèle ’ brut nature (disg 2022) barséquanais 465,6.033077541412647,29575,Vouette et Sorbee Fidele Blanc de Noirs 2019 (750ml).Base: 2019.Disgorged: 10/2022
1,nv (19) vouette et sorbée ‘ fidèle ’ brut nature (disg 2022) barséquanais 465,5.027942208143502,31107,NV Nadeson Collis Coda NV Brut Nature (750ml)
2,nv (19) vouette et sorbée ‘ fidèle ’ brut nature (disg 2022) barséquanais 465,4.269902466748572,25384,Vouette et Sorbee Blanc d'Argile Blanc de Blancs NV (750ml) .Base: 2018.Disgorged: 11/2020
3,nv (19) vouette et sorbée ‘ fidèle ’ brut nature (disg 2022) barséquanais 465,4.269902466748572,29574,Vouette et Sorbee Blanc d'Argile Blanc de Blancs NV (750ml).Base: 2019.Disgorged: 10/2022
4,nv (19) vouette et sorbée ‘ fidèle ’ brut nature (disg 2022) barséquanais 465,3.3755790541089987,31324,Vouette et Sorbee NvcpBlanc d'Argile Blanc de Blancs Champagne (750ml).Base: 2020.Disgorged: 10/2023
0,"2020 cedric bouchard ‘les ursules’ extra-brut (disg 2024) celles-sur-ource 1,200",3.755260749034777,31992,Cedric Bouchard Roses de Jeanne Les Ursules Blanc de Noirs 2020 (750ml) (D-24)
1,"2020 cedric bouchard ‘les ursules’ extra-brut (disg 2024) celles-sur-ource 1,200",3.257291981581009,31991,Cedric Bouchard Roses de Jeanne 'VV-Cote de Val Vilaine' Blanc de Noirs 2022 (750ml) (D-24)
2,"2020 cedric bouchard ‘les ursules’ extra-brut (disg 2024) celles-sur-ource 1,200",2.5939594962805836,31690,Champagne Egly-Ouriet Grand Cru V.P. (Vieillissement Prolonge) Extra Brut (750ml).Base: 2016.Disgorgement: 07/2024
3,"2020 cedric bouchard ‘les ursules’ extra-brut (disg 2024) celles-sur-ource 1,200",2.4739991333314144,31990,Frederic Savart Le Mont Benoit Premier Cru Extra Brut Chardonnay/Pinot Noir 2020 (750ml)      (D-11/24)
4,"2020 cedric bouchard ‘les ursules’ extra-brut (disg 2024) celles-sur-ource 1,200",2.4739991333314144,32018,Pertois-Moriset 'Les Quatre Terroirs' Blanc de Blancs Grand Cru Extra Brut (750ml) (B20/ D01-24)
0,2022 cedric bouchard ‘val vilaine’ extra-brut (disg 2024) celles-sur-ource 980,3.755260749034777,31992,Cedric Bouchard Roses de Jeanne Les Ursules Blanc de Noirs 2020 (750ml) (D-24)
1,2022 cedric bouchard ‘val vilaine’ extra-brut (disg 2024) celles-sur-ource 980,3.257291981581009,31991,Cedric Bouchard Roses de Jeanne 'VV-Cote de Val Vilaine' Blanc de Noirs 2022 (750ml) (D-24)
2,2022 cedric bouchard ‘val vilaine’ extra-brut (disg 2024) celles-sur-ource 980,2.5939594962805836,31690,Champagne Egly-Ouriet Grand Cru V.P. (Vieillissement Prolonge) Extra Brut (750ml).Base: 2016.Disgorgement: 07/2024
3,2022 cedric bouchard ‘val vilaine’ extra-brut (disg 2024) celles-sur-ource 980,2.4739991333314144,31990,Frederic Savart Le Mont Benoit Premier Cru Extra Brut Chardonnay/Pinot Noir 2020 (750ml)      (D-11/24)
4,2022 cedric bouchard ‘val vilaine’ extra-brut (disg 2024) celles-sur-ource 980,2.4739991333314144,32018,Pertois-Moriset 'Les Quatre Terroirs' Blanc de Blancs Grand Cru Extra Brut (750ml) (B20/ D01-24)
