pk,line_num_tot,page_num,page_line_num,section,subsection,subsubsection,vintage,merged_text_ext,base_year,cuvee_name,disgorg_year,price,merged_text
0,0,6,0,Sparkling Wine,Champagne,Côte des Bar (Aube),NV,Vouette et Sorbée Extra-Brut Barséquanais,19,Blanc d’Argile,2022,550,NV (19) Vouette et Sorbée ‘Blanc d’Argile’ Extra-Brut (disg 2022) Barséquanais 550
1,1,6,1,Sparkling Wine,Champagne,Côte des Bar (Aube),NV,Vouette et Sorbée Brut Nature Barséquanais,19,Fidèle,2022,465,NV (19) Vouette et Sorbée ‘ Fidèle ’ Brut Nature (disg 2022) Barséquanais 465
2,2,6,2,Sparkling Wine,Champagne,Côte des Bar (Aube),2020,Cedric Bouchard Extra-Brut Celles-sur-Ource,,Les Ursules,2024,1200,"2020 Cedric Bouchard ‘Les Ursules’ Extra-Brut (disg 2024) Celles-sur-Ource 1,200"
3,3,6,3,Sparkling Wine,Champagne,Côte des Bar (Aube),2022,Cedric Bouchard Extra-Brut Celles-sur-Ource,,Val Vilaine,2024,980,2022 Cedric Bouchard ‘Val Vilaine’ Extra-Brut (disg 2024) Celles-sur-Ource 980
4,4,6,4,Sparkling Wine,Champagne,Côte des Blancs,2012,Pascal Agrapart Brut Nature Avize,,Expérience,2018,1300,"2012 Pascal Agrapart ‘Expérience’ Brut Nature (disg 2018) Avize 1,300"
5,5,6,5,Sparkling Wine,Champagne,Côte des Blancs,NV,Agrapart & Fils Extra-Brut Avize,21,Terroirs,2024,580,NV (21) Agrapart & Fils ‘Terroirs’ Extra-Brut (disg 2024) Avize 580
6,6,6,6,Sparkling Wine,Champagne,Côte des Blancs,NV,Jacques Selosse Brut Avize,,Substance,2017,1850,"NV Jacques Selosse ‘Substance’ Brut (disg 2017) Avize 1,850"
7,7,6,7,Sparkling Wine,Champagne,Côte des Blancs,NV,Jacques Selosse Brut Avize,,Substance,2020,1650,"NV Jacques Selosse ‘Substance’ Brut (disg 2020) Avize 1,650"
8,8,6,8,Sparkling Wine,Champagne,Côte des Blancs,NV,Jacques Selosse Brut Avize/Ambonnay,,Rose,2024,1320,"NV Jacques Selosse ‘Rose’ Brut (disg 2024) Avize/Ambonnay 1,320"
9,9,6,9,Sparkling Wine,Champagne,Côte des Blancs,2016,Pascal Agrapart Extra-Brut Avize,,L’Avizoise,2021,915,2016 Pascal Agrapart ‘L’Avizoise’ Extra-Brut (disg 2021) Avize 915
