,page_num,rect_num,x0,y0,x1,y1,width,height,pts,linewidth,stroke,fill,evenodd,stroking_color,non_stroking_color,mcid,tag,object_type,page_number,path,dash,top,bottom,doctop
0,0,0,70.584,909.46,694.924,909.94,624.3399999999999,0.4800000000000182,"[(70.584, 111.01999999999998), (694.924, 111.01999999999998), (694.924, 110.53999999999996), (70.584, 110.53999999999996)]",0,False,True,True,0,0.0,,Artifact,rect,6,"[('m', (70.584, 111.01999999999998)), ('l', (694.924, 111.01999999999998)), ('l', (694.924, 110.53999999999996)), ('l', (70.584, 110.53999999999996)), ('h',)]",,110.53999999999996,111.01999999999998,5212.94
1,1,0,70.584,389.33,694.924,389.80998,624.3399999999999,0.47998000000001184,"[(70.584, 631.1500000000001), (694.924, 631.1500000000001), (694.924, 630.67002), (70.584, 630.67002)]",0,False,True,True,0,0.0,,Artifact,rect,7,"[('m', (70.584, 631.1500000000001)), ('l', (694.924, 631.1500000000001)), ('l', (694.924, 630.67002)), ('l', (70.584, 630.67002)), ('h',)]",,630.67002,631.1500000000001,6753.550019999999
2,2,0,70.584,909.46,694.924,909.94,624.3399999999999,0.4800000000000182,"[(70.584, 111.01999999999998), (694.924, 111.01999999999998), (694.924, 110.53999999999996), (70.584, 110.53999999999996)]",0,False,True,True,0,0.0,,Artifact,rect,8,"[('m', (70.584, 111.01999999999998)), ('l', (694.924, 111.01999999999998)), ('l', (694.924, 110.53999999999996)), ('l', (70.584, 110.53999999999996)), ('h',)]",,110.53999999999996,111.01999999999998,7253.899999999999
3,3,0,72.024,932.64,189.38400000000001,933.24001,117.36000000000001,0.6000099999999975,"[(72.024, 87.84000000000003), (189.38400000000001, 87.84000000000003), (189.38400000000001, 87.23999000000003), (72.024, 87.23999000000003)]",0,False,True,True,0,0.0,,Artifact,rect,9,"[('m', (72.024, 87.84000000000003)), ('l', (189.38400000000001, 87.84000000000003)), ('l', (189.38400000000001, 87.23999000000003)), ('l', (72.024, 87.23999000000003)), ('h',)]",,87.23999000000003,87.84000000000003,8251.079989999998
4,3,1,70.584,451.85,694.924,452.33004,624.3399999999999,0.48003999999997404,"[(70.584, 568.63), (694.924, 568.63), (694.924, 568.14996), (70.584, 568.14996)]",0,False,True,True,0,0.0,,Artifact,rect,9,"[('m', (70.584, 568.63)), ('l', (694.924, 568.63)), ('l', (694.924, 568.14996)), ('l', (70.584, 568.14996)), ('h',)]",,568.14996,568.63,8731.989959999999
5,3,2,70.584,246.29,694.924,246.76998,624.3399999999999,0.47998000000001184,"[(70.584, 774.19), (694.924, 774.19), (694.924, 773.71002), (70.584, 773.71002)]",0,False,True,True,0,0.0,,Artifact,rect,9,"[('m', (70.584, 774.19)), ('l', (694.924, 774.19)), ('l', (694.924, 773.71002)), ('l', (70.584, 773.71002)), ('h',)]",,773.71002,774.19,8937.550019999999
6,4,0,70.584,930.24,694.924,930.72,624.3399999999999,0.4800000000000182,"[(70.584, 90.24000000000001), (694.924, 90.24000000000001), (694.924, 89.75999999999999), (70.584, 89.75999999999999)]",0,False,True,True,0,0.0,,Artifact,rect,10,"[('m', (70.584, 90.24000000000001)), ('l', (694.924, 90.24000000000001)), ('l', (694.924, 89.75999999999999)), ('l', (70.584, 89.75999999999999)), ('h',)]",,89.75999999999999,90.24000000000001,9274.079999999998
7,4,1,70.584,429.53,694.924,430.01003999999995,624.3399999999999,0.48003999999997404,"[(70.584, 590.95), (694.924, 590.95), (694.924, 590.4699600000001), (70.584, 590.4699600000001)]",0,False,True,True,0,0.0,,Artifact,rect,10,"[('m', (70.584, 590.95)), ('l', (694.924, 590.95)), ('l', (694.924, 590.4699600000001)), ('l', (70.584, 590.4699600000001)), ('h',)]",,590.4699600000001,590.95,9774.789959999998
8,5,0,70.584,930.24,694.924,930.72,624.3399999999999,0.4800000000000182,"[(70.584, 90.24000000000001), (694.924, 90.24000000000001), (694.924, 89.75999999999999), (70.584, 89.75999999999999)]",0,False,True,True,0,0.0,,Artifact,rect,11,"[('m', (70.584, 90.24000000000001)), ('l', (694.924, 90.24000000000001)), ('l', (694.924, 89.75999999999999)), ('l', (70.584, 89.75999999999999)), ('h',)]",,89.75999999999999,90.24000000000001,10294.559999999998
9,5,1,70.584,333.53,694.924,334.01003999999995,624.3399999999999,0.48003999999997404,"[(70.584, 686.95), (694.924, 686.95), (694.924, 686.4699600000001), (70.584, 686.4699600000001)]",0,False,True,True,0,0.0,,Artifact,rect,11,"[('m', (70.584, 686.95)), ('l', (694.924, 686.95)), ('l', (694.924, 686.4699600000001)), ('l', (70.584, 686.4699600000001)), ('h',)]",,686.4699600000001,686.95,10891.269959999998
10,5,2,70.584,235.94,694.924,236.41998,624.3399999999999,0.47998000000001184,"[(70.584, 784.54), (694.924, 784.54), (694.924, 784.06002), (70.584, 784.06002)]",0,False,True,True,0,0.0,,Artifact,rect,11,"[('m', (70.584, 784.54)), ('l', (694.924, 784.54)), ('l', (694.924, 784.06002)), ('l', (70.584, 784.06002)), ('h',)]",,784.06002,784.54,10988.860019999998
